tag	stemtag	spcode	quadrat	SUBQUADRAT	lx	ly	dbh	codes	hom	date
248	248	PREMON	801	33	12.37	13.73	193	MAIN;A;		1995-02-13
249	249	PREMON	801	33	11.67	10.24	151	MAIN;A;		1995-02-13
250	250	CROPOE	801	33	13.65	11.14	216	MAIN;A;		1995-02-13
251	251	SLOBER	801	34	12.99	18.63	150	MAIN;A;		1995-02-13
252	252	ALCFLO	801	34	12.71	19.32	NA	MAIN;DEADT;		1995-02-13
252	6148	ALCFLO	801	33	12.71	19.32	NA	SPROUT;LS;		1995-02-13
252	6161	ALCFLO	801	33	12.71	19.32	NA	SPROUT;LS;		1995-02-13
253	253	GUEVAL	801	34	10.51	19.5	156	MAIN;A;		1995-02-15
254	254	MANBID	801	34	12.78	17.99	171	MAIN;A;		1995-02-15
255	255	PREMON	801	34	14.79	17.21	139	MAIN;A;		1995-02-15
256	256	CORBOR	801	44	16.36	18.59	102	MAIN;A;		1995-02-15
257	257	MANBID	801	44	17.59	16.93	133	MAIN;A;		1995-02-15
258	258	PREMON	801	43	17.68	13.67	142	MAIN;A;	1.3	1995-02-15
259	259	PREMON	801	42	19.64	9.49	139	MAIN;A;		1995-02-15
260	260	PREMON	801	32	14.37	5.2	181	MAIN;A;		1995-02-13
261	261	SLOBER	801	41	17.89	1.39	192	MAIN;A;		1995-02-15
261	40499	SLOBER	801	41	17.89	1.39	14	SPROUT;A;		1995-02-15
262	262	MANBID	801	41	19.8	4.81	532	MAIN;A;		1995-02-15
263	263	SLOBER	801	41	16.04	3.48	140	MAIN;A;		1995-02-15
264	264	PREMON	901	12	0.15	7.38	167	MAIN;A;		1995-02-23
266	266	PREMON	901	12	4.47	9.88	178	MAIN;A;		1995-02-23
267	267	PREMON	901	13	0.54	14.44	188	MAIN;A;		1995-02-23
268	268	PREMON	901	13	3.64	12.99	155	MAIN;A;		1995-02-23
269	269	DACEXC	901	14	0.15	17.4	384	MAIN;A;		1995-02-23
270	270	DACEXC	901	14	2.96	19.8	311	MAIN;A;		1995-02-23
271	271	ALCFLO	901	24	7.36	19.83	313	MAIN;A;		1995-02-23
272	272	MATDOM	901	24	5.78	17.23	207	MAIN;A;		1995-02-23
273	273	DACEXC	901	23	9.64	12.98	196	MAIN;A;		1995-02-23
274	274	PREMON	901	22	9.24	6.95	181	MAIN;A;		1995-02-23
275	275	MANBID	901	21	6.33	0.19	421	MAIN;A;		1995-02-23
276	276	PREMON	901	21	7.2	2.2	170	MAIN;A;		1995-02-23
277	277	SLOBER	901	21	7.65	1.47	114	MAIN;A;		1995-02-23
278	278	PREMON	901	32	13.29	7.47	171	MAIN;A;		1995-02-23
279	279	ALCFLO	901	33	13.96	11.35	423	MAIN;A;		1995-02-23
280	280	PREMON	901	33	13.37	11.06	112	MAIN;A;		1995-02-23
281	281	PREMON	901	33	10.5	14.46	162	MAIN;A;		1995-02-23
282	282	DACEXC	901	33	12.45	14.73	221	MAIN;A;		1995-02-23
283	283	OCOFLO	901	33	14.74	14.78	189	MAIN;A;		1995-02-23
284	284	ALCLAT	901	34	12.37	15.09	417	MAIN;A;		1995-02-23
285	285	DACEXC	901	34	14.21	15.43	124	MAIN;A;		1995-02-23
286	286	SLOBER	901	34	14.44	15.99	NA	MAIN;DEADT;		1995-02-23
287	287	TETBAL	901	44	18.43	17.64	160	MAIN;A;		1995-02-23
288	288	DACEXC	901	44	18.55	16.22	532	MAIN;A;		1995-02-23
289	289	MATDOM	901	44	18.9	15.75	259	MAIN;A;		1995-02-23
290	290	SLOBER	901	44	17.79	15.75	103	MAIN;A;		1995-02-23
291	291	DACEXC	901	43	19.24	14.75	410	MAIN;A;		1995-02-23
292	292	PREMON	901	41	15.21	2.11	125	MAIN;A;		1995-02-23
293	293	MANBID	1001	11	0.58	2.92	427	MAIN;A;		1995-03-01
294	294	PREMON	1001	12	3.66	5.01	151	MAIN;A;		1995-03-01
295	295	PREMON	1001	12	3.38	9.72	153	MAIN;A;		1995-03-01
296	296	MANBID	1001	14	3.01	19.5	154	MAIN;A;		1995-03-01
297	297	INGLAU	1001	14	3.46	17.52	198	MAIN;A;		1995-03-01
298	298	INGLAU	1001	24	9.05	19.95	NA	MAIN;DEADT;		1995-03-01
299	299	PREMON	1001	23	8.02	13.61	118	MAIN;A;		1995-03-01
300	300	PREMON	1001	22	8.97	8.65	161	MAIN;A;		1995-03-01
301	301	CROPOE	1001	22	7.98	7.22	147	MAIN;A;		1995-03-01
302	302	PREMON	1001	22	8.39	5.35	150	MAIN;A;		1995-03-01
303	303	BUCTET	1001	31	12.26	0.96	385	MAIN;A;		1995-03-01
304	304	SLOBER	1001	31	12.76	1.95	193	MAIN;A;		1995-03-01
304	14099	SLOBER	1001	31	12.76	1.95	50	SPROUT;A;		1995-03-01
304	14118	SLOBER	1001	31	12.76	1.95	78	SPROUT;A;		1995-03-01
304	50944	SLOBER	1001	31	12.76	1.95	14	SPROUT;A;		1995-03-01
305	305	ALCFLO	1001	31	14.74	2.91	NA	MAIN;DEADT;		1995-03-01
305	14874	ALCFLO	1001	31	14.86	2.26	NA	SPROUT;LS;		1995-03-01
306	306	INGLAU	1001	32	12.31	5.82	462	MAIN;A;		1995-03-01
307	307	PREMON	1001	34	11.44	17.25	140	MAIN;A;		1995-03-01
308	308	PREMON	1001	44	15.26	19.94	151	MAIN;A;		1995-03-01
309	309	SLOBER	1001	44	17	17.34	221	MAIN;A;		1995-03-01
309	5441	SLOBER	1001	44	17	17.34	54	SPROUT;A;		1995-03-01
310	310	ALCLAT	1001	43	16.29	12.52	280	MAIN;A;		1995-03-01
311	311	MANBID	1001	43	16.75	11.27	207	MAIN;A;		1995-03-01
312	312	SLOBER	1001	43	18.03	10.3	155	MAIN;A;		1995-03-01
313	313	BUCTET	1001	43	17.4	10.03	486	MAIN;A;		1995-03-01
314	314	DRYGLA	1001	41	15.67	3.34	NA	MAIN;DEADT;		1995-03-01
314	6451	DRYGLA	1001	41	15.67	3.34	NA	SPROUT;LS;		1995-03-01
314	6463	DRYGLA	1001	41	15.67	3.34	NA	SPROUT;LS;		1995-03-01
314	6471	DRYGLA	1001	41	15.67	3.34	NA	SPROUT;LS;		1995-03-01
314	6485	DRYGLA	1001	41	15.67	3.34	NA	SPROUT;LS;		1995-03-01
314	6491	DRYGLA	1001	41	15.67	3.34	NA	SPROUT;LS;		1995-03-01
315	315	PREMON	1001	41	19.61	1.52	143	MAIN;A;		1995-03-01
316	316	CASARB	1101	12	0.39	6.43	220	MAIN;A;		1995-03-02
317	317	PREMON	1101	13	3	13.7	144	MAIN;A;		1995-03-02
318	318	ALCLAT	1101	14	0.48	17.83	430	MAIN;A;		1995-03-02
319	319	SLOBER	1101	24	8.72	15.31	320	MAIN;A;		1995-03-02
319	320	SLOBER	1101	24	8.98	15.24	372	SPROUT;A;		1995-03-02
319	50949	SLOBER	1101	24	8.72	15.31	20	SPROUT;A;		1995-03-02
321	321	PREMON	1101	23	5.97	10.16	153	MAIN;A;		1995-03-02
322	322	PREMON	1101	21	9.51	0.42	119	MAIN;A;		1995-03-02
323	323	PREMON	1101	21	7.32	3.48	191	MAIN;A;		1995-03-02
324	324	OCOMOS	1101	22	9.15	5.13	148	MAIN;A;		1995-03-02
325	325	SLOBER	1101	22	9.63	5.5	167	MAIN;A;		1995-03-02
326	326	DACEXC	1101	31	11.58	3.64	230	MAIN;A;		1995-03-02
327	327	ALCFLO	1101	31	12.51	2.53	219	MAIN;A;	1.3	1995-03-02
328	328	PREMON	1101	31	13.44	2.55	170	MAIN;A;		1995-03-02
329	329	LAEPRO	1101	32	11.3	5.15	248	MAIN;A;		1995-03-02
330	330	MANBID	1101	32	10.12	5.49	477	MAIN;A;		1995-03-02
331	331	PREMON	1101	42	15.1	9.64	147	MAIN;A;		1995-03-02
332	332	GUAGUI	1101	34	11.63	16.29	379	MAIN;A;		1995-03-02
333	333	GUAGUI	1101	44	19.82	15.42	324	MAIN;A;		1995-03-02
334	334	MANBID	1101	43	17.02	14.75	683	MAIN;A;		1995-03-02
335	335	INGLAU	1101	42	19.72	5.44	137	MAIN;A;		1995-03-02
336	336	PREMON	1101	42	17.43	9.17	149	MAIN;A;		1995-03-02
337	337	PREMON	1101	41	17.54	2.1	170	MAIN;A;		1995-03-02
338	338	CROPOE	1201	12	0.99	7.71	239	MAIN;A;		1995-03-20
339	339	PREMON	1201	12	2.54	7.12	149	MAIN;A;		1995-03-20
340	340	PREMON	1201	13	4.25	12.52	187	MAIN;A;		1995-03-20
341	341	PREMON	1201	14	3.38	16	135	MAIN;A;		1995-03-20
342	342	PREMON	1201	14	0.26	19.85	145	MAIN;A;		1995-03-20
343	343	CORSUL	1201	44	16.29	17.6	224	MAIN;A;		1995-03-20
344	344	PREMON	1201	24	8.74	18.67	163	MAIN;A;		1995-03-20
345	345	MANBID	1201	24	6.34	16.38	342	MAIN;A;		1995-03-20
346	346	GUAGUI	1201	22	9.45	9.54	488	MAIN;A;		1995-03-20
347	347	PREMON	1201	31	10.99	2.46	145	MAIN;A;		1995-03-20
348	348	INGLAU	1201	31	14.5	3.73	NA	MAIN;DEADT;		1995-03-20
349	349	PREMON	1201	31	14.12	4.5	164	MAIN;A;		1995-03-20
350	350	INGLAU	1201	31	12.98	4.92	128	MAIN;A;		1995-03-20
351	351	PREMON	1201	32	14.13	5.11	165	MAIN;A;		1995-03-20
352	352	INGLAU	1201	33	12.35	13.37	525	MAIN;A;		1995-03-20
353	353	ALCFLO	1201	33	12.62	13.59	276	MAIN;A;		1995-03-20
354	354	ALCFLO	1201	23	9.87	14.52	254	MAIN;A;		1995-03-20
354	505	ALCFLO	1201	23	9.65	14.32	210	SPROUT;A;		1995-03-20
355	355	DRYGLA	1201	44	15.42	15.31	217	MAIN;A;		1995-03-20
355	506	DRYGLA	1201	44	15.64	15.19	190	SPROUT;A;		1995-03-20
356	356	PREMON	1201	42	17	9.8	150	MAIN;A;		1995-03-20
357	357	SLOBER	1301	12	4.81	5.18	134	MAIN;A;		1995-03-23
358	358	DACEXC	1301	12	3.48	7.95	503	MAIN;A;		1995-03-23
359	359	MANBID	1301	12	3.45	7.49	114	MAIN;A;		1995-03-23
361	361	PREMON	1301	13	0.48	10.1	146	MAIN;A;		1995-03-23
362	362	INGLAU	1301	14	0.85	15.14	156	MAIN;A;		1995-03-23
363	363	PREMON	1301	14	4.8	18.51	158	MAIN;A;		1995-03-23
364	364	PREMON	1301	14	4.92	16.93	186	MAIN;A;		1995-03-23
365	365	PREMON	1301	23	9.69	14.66	182	MAIN;A;		1995-03-23
366	366	CHIDOM	1301	23	7.8	10.27	NA	MAIN;DEADT;		1995-03-23
367	367	DACEXC	1301	22	6.11	7.38	149	MAIN;A;		1995-03-23
368	368	DACEXC	1301	22	6.47	7.47	455	MAIN;A;		1995-03-23
369	369	DACEXC	1301	22	7.18	7.21	170	MAIN;A;		1995-03-23
370	370	DACEXC	1301	21	5.42	0.26	242	MAIN;A;		1995-03-23
371	371	MANBID	1301	21	9.67	0.28	209	MAIN;A;		1995-03-23
372	372	DACEXC	1301	31	10.99	1.31	307	MAIN;A;		1995-03-23
373	373	ORMKRU	1301	31	11.57	3.93	292	MAIN;A;		1995-03-23
374	374	DACEXC	1301	32	11.27	6.94	596	MAIN;A;		1995-03-23
375	375	ORMKRU	1301	32	11.13	8.52	445	MAIN;A;		1995-03-23
376	376	DACEXC	1301	32	10.12	7.42	187	MAIN;A;		1995-03-23
377	377	DACEXC	1301	32	11.21	9.71	187	MAIN;A;		1995-03-23
378	378	PREMON	1301	33	14.17	10.29	155	MAIN;A;		1995-03-23
379	379	CORSUL	1301	34	14.22	15.23	305	MAIN;A;		1995-03-23
380	380	INGLAU	1301	34	14.02	15.42	153	MAIN;A;		1995-03-23
381	381	ALCFLO	1301	44	16.66	19.53	181	MAIN;A;		1995-03-23
382	382	PREMON	1301	44	17.66	19.53	170	MAIN;A;		1995-03-23
383	383	INGLAU	1301	44	15.26	15.93	148	MAIN;A;		1995-03-23
384	384	DRYGLA	1301	44	18.76	16.99	NA	MAIN;DEADT;		1995-03-23
384	20305	DRYGLA	1301	44	18.76	16.99	NA	SPROUT;LS;		1995-03-23
385	385	BYRSPI	1301	42	19.86	9.81	154	MAIN;A;		1995-03-23
386	386	HOMRAC	1301	42	15.13	5.73	210	MAIN;A;		1995-03-23
387	387	ALCLAT	1301	42	15.16	6.02	334	MAIN;A;		1995-03-23
388	388	CROPOE	1401	11	4.82	4.08	218	MAIN;A;		1995-04-03
389	389	DRYGLA	1401	12	1.37	5.01	252	MAIN;A;		1995-04-03
389	390	DRYGLA	1401	12	1.27	5.15	244	SPROUT;A;		1995-04-03
391	391	DRYGLA	1401	12	1.44	5.24	158	MAIN;A;		1995-04-03
392	392	ALCLAT	1401	13	2.5	12.96	291	MAIN;A;		1995-04-03
393	393	PREMON	1401	13	0.22	11.66	141	MAIN;A;		1995-04-03
394	394	DRYGLA	1401	14	3.99	17.47	112	MAIN;A;		1995-04-03
395	395	PREMON	1401	13	2	14.46	133	MAIN;A;		1995-04-03
396	396	INGLAU	1401	14	2.03	16.97	811	MAIN;A;		1995-04-03
397	397	PREMON	1401	24	6.22	16.97	153	MAIN;A;		1995-04-03
399	399	PREMON	1401	23	7.77	10.97	157	MAIN;A;		1995-04-03
400	400	INGLAU	1401	22	5.33	9.63	262	MAIN;A;		1995-04-03
401	401	CROPOE	1401	22	8.94	7.88	111	MAIN;A;		1995-04-03
402	402	CROPOE	1401	22	8.69	7.42	176	MAIN;A;		1995-04-03
403	403	CROPOE	1401	22	8.45	5.06	140	MAIN;A;		1995-04-03
404	404	CROPOE	1401	21	8.9	2.94	204	MAIN;A;		1995-04-03
405	405	CORSUL	1401	21	6.98	1.14	150	MAIN;A;		1995-04-03
406	406	CROPOE	1401	21	9.36	1.97	179	MAIN;A;		1995-04-03
407	407	PREMON	1401	21	7.28	1.16	135	MAIN;A;		1995-04-03
408	408	CROPOE	1401	32	12.41	6.15	186	MAIN;A;		1995-04-03
409	409	PREMON	1401	32	13.16	7.73	122	MAIN;A;		1995-04-03
410	410	INGLAU	1401	32	11.01	9.82	191	MAIN;A;		1995-04-03
411	411	MANBID	1401	33	13.51	12.3	101	MAIN;A;		1995-04-03
412	412	CSSGUI	1401	33	13.76	12.99	NA	MAIN;DEADT;		1995-04-03
413	413	BUCTET	1401	34	12.58	15.14	320	MAIN;A;		1995-04-03
413	20681	BUCTET	1401	33	12.58	15.14	NA	SPROUT;LS;		1995-04-03
413	20700	BUCTET	1401	33	12.58	15.14	NA	SPROUT;LS;		1995-04-03
413	45622	BUCTET	1401	33	13.04	14.78	12.5	SPROUT;A;		1995-04-03
413	45623	BUCTET	1401	33	14.74	11.15	53.5	SPROUT;A;		1995-04-03
413	45624	BUCTET	1401	33	12.58	15.14	62	SPROUT;A;		1995-04-03
414	414	SAPLAU	1401	33	11.99	14.73	175	MAIN;A;		1995-04-03
414	20683	SAPLAU	1401	33	11.99	14.73	NA	SPROUT;LS;		1995-04-03
416	416	DACEXC	1401	44	17.8	19.9	198	MAIN;A;		1995-04-03
416	43581	DACEXC	1402	41	17.8	19.9	15.7	SPROUT;A;	1.3	1995-03-08
417	417	MATDOM	1401	44	19	19.59	105	MAIN;A;		1995-04-03
418	418	MANBID	1401	44	18.47	16.88	138	MAIN;A;		1995-04-03
419	419	CROPOE	1401	44	15.46	18.6	112	MAIN;A;		1995-04-03
421	421	CROPOE	1401	43	19.48	13.03	319	MAIN;A;		1995-04-03
422	422	CROPOE	1401	42	17.99	7.48	NA	MAIN;DEADT;		1995-04-03
423	423	PSYBER	1001	42			NA	MAIN;DEADT;		1995-03-01
424	424	CROPOE	1401	42	18.6	5.24	151	MAIN;A;		1995-04-03
426	426	PREMON	1401	41	18.49	4.87	156	MAIN;A;		1995-04-03
427	427	MATDOM	1501	11	2.53	1.44	262	MAIN;A;		1995-04-05
428	428	CROPOE	1501	11	2	2.09	267	MAIN;A;		1995-04-05
428	20755	CROPOE	1501	11	2	2.09	NA	SPROUT;LS;		1995-04-05
429	429	ALCLAT	1501	12	3.82	8.3	108	MAIN;A;		1995-04-05
429	20805	ALCLAT	1501	12	3.82	8.3	28.5	SPROUT;A;		1995-04-05
430	430	CROPOE	1501	12	0.97	7.81	241	MAIN;A;		1995-04-05
431	431	CROPOE	1501	12	2.26	6.97	111	MAIN;A;		1995-04-05
432	432	PREMON	1501	13	0.8	10.8	139	MAIN;A;		1995-04-05
433	433	CROPOE	1501	13	2.76	11.83	103	MAIN;A;		1995-04-05
434	434	CROPOE	1501	14	2.95	16.14	NA	MAIN;DEADT;		1995-04-05
435	435	MANBID	1501	14	0.07	15.99	132	MAIN;A;		1995-04-05
436	436	MATDOM	1501	14	2.99	19.86	310	MAIN;A;		1995-04-05
437	437	MANBID	1501	24	5.04	17.88	113	MAIN;A;		1995-04-05
437	20811	MANBID	1501	24	5.04	17.88	37.5	SPROUT;A;		1995-04-05
438	438	DACEXC	1501	24	5.12	16.41	245	MAIN;A;		1995-04-05
439	439	BUCTET	1501	24	5.42	16.99	141	MAIN;A;		1995-04-05
440	440	DACEXC	1501	23	6.28	14.38	106	MAIN;A;		1995-04-05
441	441	ALCFLO	1501	23	7.45	14.91	130	MAIN;A;		1995-04-05
442	442	PREMON	1501	23	5.51	13.82	104	MAIN;A;		1995-04-05
443	443	MICTET	1501	23	8.78	13.97	278	MAIN;A;		1995-04-05
444	444	TABHET	1501	23	9.46	11.42	387	MAIN;A;		1995-04-05
445	445	MANBID	1501	23	8.03	12.5	124	MAIN;A;		1995-04-05
446	446	DRYGLA	1501	22	8.97	6.96	189	MAIN;A;		1995-04-05
447	447	GUEVAL	1501	22	7.8	7.54	185	MAIN;A;		1995-04-05
448	448	PREMON	1501	11	4.86	3.2	118	MAIN;A;		1995-04-05
449	449	HOMRAC	1501	22	6.99	6.2	292	MAIN;A;		1995-04-05
449	20849	HOMRAC	1501	22	6.99	6.2	40.5	SPROUT;A;		1995-04-05
450	450	CROPOE	1501	21	7.48	0.69	101	MAIN;A;		1995-04-05
451	451	PREMON	1501	21	7.15	2.5	136	MAIN;A;		1995-04-05
453	453	CALSQU	1501	31	13.52	4.39	260	MAIN;A;		1995-04-05
454	454	MIRGAR	1501	32	14.57	5.1	205	MAIN;A;		1995-04-05
455	455	DACEXC	1501	32	10.19	5.22	162	MAIN;A;		1995-04-05
456	456	PREMON	1501	32	13.95	7.97	115	MAIN;A;		1995-04-05
457	457	TABHET	1501	32	12.98	6.57	262	MAIN;A;		1995-04-05
458	458	MATDOM	1501	33	12.6	14.75	233	MAIN;A;		1995-04-05
459	459	MANBID	1501	33	12.9	12.44	118	MAIN;A;		1995-04-05
460	460	CHIDOM	1501	34	13.97	18.02	111	MAIN;A;		1995-04-05
461	461	MANBID	1501	34	11	17.18	144	MAIN;A;		1995-04-05
463	462	MATDOM	1501	44	15.93	19.02	238	SPROUT;A;		1995-04-05
463	463	MATDOM	1501	44	16.44	19.35	325	MAIN;A;		1995-04-05
464	464	MATDOM	1501	44	15.11	17.46	317	MAIN;A;		1995-04-05
465	465	DACEXC	1501	43	18.25	14.51	180	MAIN;A;		1995-04-05
466	466	ORMKRU	1501	44	15.34	16.36	205	MAIN;A;		1995-04-05
467	467	ALCFLO	1501	41	19	4.45	290	MAIN;A;		1995-04-05
468	468	MANBID	1501	41	19.96	4.23	238	MAIN;A;		1995-04-05
469	469	PREMON	1601	11	2.5	0.44	156	MAIN;A;		1995-04-06
470	470	PREMON	1601	12	0.64	5.49	152	MAIN;A;		1995-04-06
472	472	TABHET	1601	13	3.87	12.2	165	MAIN;A;		1995-04-06
473	473	MATDOM	1601	12	4.52	7.96	262	MAIN;A;		1995-04-06
474	474	MANBID	1601	13	3.51	12.54	320	MAIN;A;		1995-04-06
475	475	MATDOM	1601	14	0.78	16.16	399	MAIN;A;		1995-04-06
476	476	ALCFLO	1601	13	0.26	14.07	289	MAIN;A;		1995-04-06
479	479	PREMON	1601	23	8.98	13.78	159	MAIN;A;		1995-04-06
480	480	MATDOM	1601	22	9.01	9.7	168	MAIN;A;		1995-04-06
482	482	DACEXC	1601	21	8.7	3.81	336	MAIN;A;		1995-04-06
